#	Kanji	Reading	Definition	Part	Jisho
195	店	みせ	shop, store	Noun	Jisho
196	春	はる	spring	Noun	Jisho
197	夏	なつ	summer	Noun	Jisho
198	秋	あき	autumn, fall	Noun	Jisho
199	冬	ふゆ	winter	Noun	Jisho
200	みんな	みんな	all, everybody	Noun	Jisho
201	暑い	あつい	hot, warm (temperature of the air)	Adjective	Jisho
202	熱い	あつい	hot (things, touch)	Adjective	Jisho
203	寒い	さむい	cold (temperature of the air)	Adjective	Jisho
204	暖かい	あたたかい	warm	Adjective	Jisho
205	新しい	あたらしい	new	Adjective	Jisho
206	古い	ふるい	old	Adjective	Jisho
207	良い	いい	good	Adjective	Jisho
208	悪い	わるい	bad	Adjective	Jisho
209	思う	おもう	think	Verb	Jisho
210	いつも	いつも	always	Adverb	Jisho
211	忘れる	わすれる	forget, leave behind	Verb	Jisho
212	考える	かんがえる	think, consider	Verb	Jisho
213	決める	きめる	decide, agree upon	Verb	Jisho
214	決まる	きまる	be decided	Verb	Jisho
215	知る	しる	know	Verb	Jisho
216	一番	いちばん	most	Adverb	Jisho
217	住む	すむ	live, reside	Verb	Jisho
218	名前	なまえ	name	Noun	Jisho
219	食べ物	たべもの	food	Noun	Jisho
220	いつ	いつ	when	Noun	Jisho
221	飲み物	のみもの	beverage, drink	Noun	Jisho
222	重い	おもい	heavy	Adjective	Jisho
223	軽い	かるい	light, light weight	Adjective	Jisho
224	送る	おくる	send	Verb	Jisho
225	取る	とる	take, get	Verb	Jisho
226	待つ	まつ	wait, wait for	Verb	Jisho
227	持つ	もつ	have, possess	Verb	Jisho
228	気持ち	きもち	feeling, sensation	Noun	Jisho
229	生きる	いきる	live (one's life)	Verb	Jisho
230	どちら	どちら	which	Noun	Jisho
231	先生	せんせい	teacher	Noun	Jisho
232	大学	だいがく	university, college	Noun	Jisho
233	学生	がくせい	student	Noun	Jisho
234	大学生	だいがくせい	university student	Noun	Jisho
235	学校	がっこう	school	Noun	Jisho
236	高校生	こうこうせい	high school student	Noun	Jisho
237	教える	おしえる	teach, tell	Verb	Jisho
