#	Kanji	Reading	Definition	Frequency	Dispersion	6K #	Jisho
312	アメリカ	あめりか	America	234	0.96		Jisho
313	あれ	あれ	that	234	0.86	330	Jisho
314	小さい	ちいさい	small, little, tiny	233	0.92	74	Jisho
315	相手	あいて	companion; partner	232	0.91	1288	Jisho
316	母	はは	mother	232	0.84	295	Jisho
317	以上	いじょう	more than; mentioned above; since	232	0.87	1112	Jisho
318	関係	かんけい	relationship, connection	232	0.96	1299	Jisho
319	四	よん	four	231	0.81	11	Jisho
319	四	し	four	231	0.81	11	Jisho
320	たぶん	たぶん	probably, perhaps, maybe	228	0.7		Jisho
321	店	みせ	store, shop	228	0.84	195	Jisho
322	どんな	どんな	what, what kind of	227	0.94		Jisho
323	頭	あたま	head	227	0.9	2950	Jisho
324	電話	でんわ	(tele)phone, call	225	0.89	619	Jisho
325	長い	ながい	long	224	0.97	177	Jisho
326	ことになる	ことになる	it happens that . . . , it is decided that	224	0.8		Jisho
327	本	ほん	book	223	0.9	96	Jisho
328	どの	どの	which, what	222	0.94		Jisho
329	こちら	こちら	this place, here; this way; this	222	0.82	926	Jisho
330	いわゆる	いわゆる	what is called, what you call, so-called	222	0.76		Jisho
331	わ	わ	EXCLAMATION	222	0.78		Jisho
332	夜	よる	night, evening	220	0.88	4153	Jisho
333	別	べつ	separate, different	217	0.96	315	Jisho
334	者	もの	person, people	217	0.67	4796	Jisho
335	タイトル	たいとる	title	217	0.45		Jisho
336	親	おや	parent	216	0.9	296	Jisho
337	名前	なまえ	name	215	0.91	218	Jisho
338	全部	ぜんぶ	all, whole, entire	214	0.85	181	Jisho
339	皆さん	みなさん	everybody, everyone	213	0.87	1618	Jisho
340	により	により	by; with; depending on	213	0.58		Jisho
341	きれい	きれい	beautiful, pretty; clean	212	0.84		Jisho
342	立つ	たつ	stand	212	0.97	257	Jisho
343	毎日	まいにち	every day	212	0.85	488	Jisho
344	ために	ために	for	211	0.82		Jisho
345	おいしい	おいしい	delicious, tasty	210	0.75	390	Jisho
